Symbol    Weight    Huffman Code
          13        111
e         7         001
o         7         010
t         9         110
a         3         0000
f         5         1011
h         4         1000
r         3         0001
g         2         01111
i         2         10010
l         2         10011
n         2         10101
w         1         01100
T         1         011010
b         1         011011
c         1         011100
d         1         011101
m         1         101000
s         1         101001
